Symbol,Name,Side,Filled Time,Placed Time,Filled Quantity,Avg Price,Order Type,Status,Fees,Commission,Total,Amount,Currency,Order ID,Trade ID
AMD,Advanced Micro Devices,Sell,"2026-05-02 15:20:44","2026-05-02 15:20:14",75,153.05,Limit,Filled,0.04,0.00,11478.75,11478.75,USD,WB100012,WT100012
SPY,SPDR S&P 500 ETF,Dividend,"2026-05-03 09:32:00","2026-05-03 09:32:00",0,0,Cash,Filled,0.00,0.00,18.42,18.42,USD,WB100013,WT100013
TSLA,Tesla Inc,Buy,"2026-05-03 09:58:26","2026-05-03 09:58:01",15,238.60,Market,Filled,0.00,0.00,-3579.00,-3579.00,USD,WB100014,WT100014
TSLA,Tesla Inc,Sell,"2026-05-03 10:35:51","2026-05-03 10:35:30",20,236.95,Market,Filled,0.04,0.00,4739.00,4739.00,USD,WB100015,WT100015
TSLA,Tesla Inc,Buy,"2026-05-03 11:14:03","2026-05-03 11:13:40",5,235.20,Limit,Filled,0.02,0.00,-1176.00,-1176.00,USD,WB100016,WT100016
META,Meta Platforms,Sell Short,"2026-05-03 12:07:20","2026-05-03 12:06:52",12,486.70,Market,Filled,0.02,0.00,5840.40,5840.40,USD,WB100017,WT100017
META,Meta Platforms,Buy to Cover,"2026-05-03 13:22:39","2026-05-03 13:22:14",12,485.20,Market,Filled,0.02,0.00,-5822.40,-5822.40,USD,WB100018,WT100018
SPY,SPDR S&P 500 ETF,Buy,"2026-05-04 09:31:28","2026-05-04 09:31:01",25,514.80,Market,Filled,0.00,0.00,-12870.00,-12870.00,USD,WB100019,WT100019
SPY,SPDR S&P 500 ETF,Sell,"2026-05-04 09:55:47","2026-05-04 09:55:24",25,514.10,Limit,Filled,0.03,0.00,12852.50,12852.50,USD,WB100020,WT100020
IWM,iShares Russell 2000 ETF,Buy,"2026-05-04 10:44:13","2026-05-04 10:43:59",60,204.35,Market,Filled,0.00,0.00,-12261.00,-12261.00,USD,WB100021,WT100021
IWM,iShares Russell 2000 ETF,Sell,"2026-05-04 11:25:02","2026-05-04 11:24:31",60,204.92,Limit,Filled,0.04,0.00,12295.20,12295.20,USD,WB100022,WT100022
CASH,Monthly account fee,Fee,"2026-05-04 12:00:00","2026-05-04 12:00:00",0,0,Cash,Filled,0.00,0.00,-5.00,-5.00,USD,WB100023,WT100023
AMZN,Amazon.com Inc,Sell Short,"2026-05-05 09:41:21","2026-05-05 09:40:59",20,181.50,Market,Filled,0.02,0.00,3630.00,3630.00,USD,WB100024,WT100024
AMZN,Amazon.com Inc,Buy to Cover,"2026-05-05 10:13:31","2026-05-05 10:13:01",20,182.05,Limit,Filled,0.02,0.00,-3641.00,-3641.00,USD,WB100025,WT100025
NFLX,Netflix Inc,Buy,"2026-05-05 11:02:11","2026-05-05 11:01:55",6,623.80,Market,Filled,0.00,0.00,-3742.80,-3742.80,USD,WB100026,WT100026
NFLX,Netflix Inc,Sell,"2026-05-05 11:58:02","2026-05-05 11:57:35",6,626.10,Limit,Filled,0.02,0.00,3756.60,3756.60,USD,WB100027,WT100027
GOOGL,Alphabet Inc,Buy,"2026-05-05 13:24:09","2026-05-05 13:23:50",30,172.15,Market,Filled,0.00,0.00,-5164.50,-5164.50,USD,WB100028,WT100028
GOOGL,Alphabet Inc,Sell,"2026-05-05 14:17:55","2026-05-05 14:17:33",10,171.65,Limit,Filled,0.02,0.00,1716.50,1716.50,USD,WB100029,WT100029
SMH,VanEck Semiconductor ETF,Buy,"2026-05-06 10:12:22","2026-05-06 10:12:00",40,236.80,Market,Filled,0.00,0.00,-9472.00,-9472.00,USD,WB100030,WT100030
SMH,VanEck Semiconductor ETF,Sell,"2026-05-06 10:48:36","2026-05-06 10:48:12",20,237.60,Limit,Filled,0.02,0.00,4752.00,4752.00,USD,WB100031,WT100031
NVDA,NVIDIA Corp,Buy,"2026-05-06 11:12:00","2026-05-06 11:11:30",5,912.00,Limit,Cancelled,0.00,0.00,0.00,0.00,USD,WB100032,WT100032
AVGO,Broadcom Inc,Sell,"2026-05-06 11:20:00","2026-05-06 11:19:30",3,1360.00,Limit,Rejected,0.00,0.00,0.00,0.00,USD,WB100033,WT100033
